incident_id,incident_datetime,incident_type_primary,incident_description,address_1,city,zip,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type,Georgia Institute of Technology Georgia Tech Campus Shapes - n4r2-r2pa,Georgia Institute of Technology Areas Shapes - xuww-jywm
116916603,10/2/2006 20:32,2317 - LARCENY ? BICYCLE,LARCENY ? BICYCLE<BR>LANDMARK :COLLEGE OF MANAGEMENT,1 Block FIFTH STREET,ATLANTA,30344,33.676961,-84.4293,6/25/2012 18:46,5/6/2015 17:45,POINT (-84.4293 33.676961),20,Monday,Theft,,
116913837,8/20/2007 19:11,2303 - SHOPLIFTING,SHOPLIFTING<BR>LANDMARK :BARNES AND NOBLE BOOKSTORE 172 Z2,1 Block FIFTH STREET,ATLANTA,30344,33.676961,-84.4293,6/25/2012 18:45,5/6/2015 17:41,POINT (-84.4293 33.676961),19,Monday,Theft,,
116916450,4/3/2006 8:55,2317 - LARCENY ? BICYCLE,THEFT BY TAKING<BR>LANDMARK :PETERS PARKING DECK,700 Block FOWLER STREET NW,ATLANTA,30313,33.774252,-84.3937827,6/25/2012 18:46,5/6/2015 17:45,POINT (-84.393783 33.774252),8,Monday,Theft,,230979
116916523,8/17/2009 11:15,2317 - LARCENY ? BICYCLE,LARCENY ? BICYCLE<BR>LANDMARK :HARRIS RESIDENCE HALL,600 Block TECHWOOD DRIVE NW,ATLANTA,30332,33.7713136,-84.3920502,6/25/2012 18:46,5/6/2015 17:42,POINT (-84.39205 33.771314),11,Monday,Theft,,230979
116916576,5/16/2006 10:54,2317 - LARCENY ? BICYCLE,THEFT BY TAKING<BR>LANDMARK :STUDENT CENTER,300 Block FERST DRIVE NW,ATLANTA,30313,33.7769281,-84.3936373,6/25/2012 18:46,5/6/2015 17:45,POINT (-84.393637 33.776928),10,Tuesday,Theft,,230979
116916992,4/29/2008 6:11,2399 - LARCENY OFFENSE FREE TEXT,THEFT BY TAKING<BR>LANDMARK :NONE GIVEN,600 Block NORTHSIDE DRIVE,ATLANTA,30318,33.7712679,-84.4062517,6/25/2012 18:47,5/6/2015 17:41,POINT (-84.406252 33.771268),6,Tuesday,Theft,,
116917067,10/5/2010 18:32,2399 - LARCENY OFFENSE FREE TEXT,THEFT BY TAKING<BR>LANDMARK :IBB BUILDING,300 Block FERST DRIVE NW,ATLANTA,30313,33.7769281,-84.3936373,6/25/2012 18:47,5/6/2015 17:42,POINT (-84.393637 33.776928),18,Tuesday,Theft,,230979
116918710,1/25/2010 20:11,5308 - FALSE FIRE ALARM,FIRE ALARM<BR>LANDMARK :BOBBY DODD STADIUM 17 Z2,100 Block NORTH AVENUE NW,ATLANTA,30313,33.7712878,-84.3907507,6/25/2012 18:47,5/6/2015 17:42,POINT (-84.390751 33.771288),20,Monday,Alarm,,230979
116918865,12/24/2006 14:09,5308 - FALSE FIRE ALARM,FIRE ALARM<BR>LANDMARK :BOBBY DODD STADIUM 17 Z2,100 Block NORTH AVENUE NW,ATLANTA,30313,33.7712878,-84.3907507,6/25/2012 18:47,5/6/2015 17:40,POINT (-84.390751 33.771288),14,Sunday,Alarm,,230979
116918879,2/20/2011 3:42,5314 - LOITERING VIOLATION,CRIMINAL TRESPASS<BR>LANDMARK :BOBBY DODD STADIUM,100 Block NORTH AVENUE NW,ATLANTA,30313,33.7712878,-84.3907507,6/25/2012 18:47,5/6/2015 17:42,POINT (-84.390751 33.771288),3,Sunday,Disorder,,230979
